mpg,cylinders,displacement,horsepower,weight,acceleration,model year,car name,Man_Country,PW_ratio,Company_Name,hp_binned,DispCC,DispLitr
18.0,8,307.0,130.0,3504,12.0,70,chevrolet chevelle malibu,USA,0.037100456621004564,chevrolet,Mid,5030.8397,5.0308397000000005
15.0,8,350.0,165.0,3693,11.5,70,buick skylark 320,USA,0.04467912266450041,buick,Mid,5735.485,5.735485
18.0,8,318.0,150.0,3436,11.0,70,plymouth satellite,USA,0.043655413271245634,plymouth,Mid,5211.0978000000005,5.2110978
16.0,8,304.0,150.0,3433,12.0,70,amc rebel sst,USA,0.043693562481794346,amc,Mid,4981.6784,4.9816784
17.0,8,302.0,140.0,3449,10.5,70,ford torino,USA,0.04059147579008408,ford,Mid,4948.9042,4.9489042
15.0,8,429.0,198.0,4341,10.0,70,ford galaxie 500,USA,0.04561161022805805,ford,High,7030.0659000000005,7.0300659
14.0,8,454.0,220.0,4354,9.0,70,chevrolet impala,USA,0.050528249885163065,chevrolet,High,7439.7434,7.4397434
14.0,8,440.0,215.0,4312,8.5,70,plymouth fury iii,USA,0.049860853432282005,plymouth,High,7210.3240000000005,7.210324000000001
14.0,8,455.0,225.0,4425,10.0,70,pontiac catalina,USA,0.05084745762711865,pontiac,High,7456.1305,7.4561305
15.0,8,390.0,190.0,3850,8.5,70,amc ambassador dpl,USA,0.04935064935064935,amc,High,6390.969,6.390969
15.0,8,383.0,170.0,3563,10.0,70,dodge challenger se,USA,0.04771260174010665,dodge,High,6276.2593,6.2762592999999995
14.0,8,340.0,160.0,3609,8.0,70,plymouth 'cuda 340,USA,0.04433361041839845,plymouth,Mid,5571.6140000000005,5.571614
15.0,8,400.0,150.0,3761,9.5,70,chevrolet monte carlo,USA,0.03988300983780909,chevrolet,Mid,6554.84,6.55484
14.0,8,455.0,225.0,3086,10.0,70,buick estate wagon (sw),USA,0.0729099157485418,buick,High,7456.1305,7.4561305
24.0,4,113.0,95.0,2372,15.0,70,toyota corona mark ii,Japan,0.04005059021922428,toyota,Low,1851.7423000000001,1.8517423000000002
22.0,6,198.0,95.0,2833,15.5,70,plymouth duster,USA,0.03353335686551359,plymouth,Low,3244.6458000000002,3.2446458000000002
18.0,6,199.0,97.0,2774,15.5,70,amc hornet,USA,0.034967555875991346,amc,Low,3261.0329,3.2610329
21.0,6,200.0,85.0,2587,16.0,70,ford maverick,USA,0.032856590645535366,ford,Low,3277.42,3.27742
27.0,4,97.0,88.0,2130,14.5,70,datsun pl510,Japan,0.04131455399061033,datsun,Low,1589.5487,1.5895487000000001
26.0,4,97.0,46.0,1835,20.5,70,volkswagen 1131 deluxe sedan,Europe,0.025068119891008173,VW,Low,1589.5487,1.5895487000000001
25.0,4,110.0,87.0,2672,17.5,70,peugeot 504,Europe,0.03255988023952096,peugeot,Low,1802.5810000000001,1.8025810000000002
24.0,4,107.0,90.0,2430,14.5,70,audi 100 ls,Europe,0.037037037037037035,audi,Low,1753.4197,1.7534197
25.0,4,104.0,95.0,2375,17.5,70,saab 99e,Europe,0.04,saab,Low,1704.2584,1.7042583999999998
26.0,4,121.0,113.0,2234,12.5,70,bmw 2002,Europe,0.050581915846016116,bmw,Mid,1982.8391,1.9828390999999999
21.0,6,199.0,90.0,2648,15.0,70,amc gremlin,USA,0.033987915407854986,amc,Low,3261.0329,3.2610329
10.0,8,360.0,215.0,4615,14.0,70,ford f250,USA,0.04658721560130011,ford,High,5899.356,5.899356
10.0,8,307.0,200.0,4376,15.0,70,chevy c20,USA,0.04570383912248629,chevrolet,High,5030.8397,5.0308397000000005
11.0,8,318.0,210.0,4382,13.5,70,dodge d200,USA,0.04792332268370607,dodge,High,5211.0978000000005,5.2110978
9.0,8,304.0,193.0,4732,18.5,70,hi 1200d,USA,0.04078613693998309,hi,High,4981.6784,4.9816784
27.0,4,97.0,88.0,2130,14.5,71,datsun pl510,Japan,0.04131455399061033,datsun,Low,1589.5487,1.5895487000000001
28.0,4,140.0,90.0,2264,15.5,71,chevrolet vega 2300,USA,0.03975265017667844,chevrolet,Low,2294.194,2.294194
25.0,4,113.0,95.0,2228,14.0,71,toyota corona,Japan,0.042639138240574505,toyota,Low,1851.7423000000001,1.8517423000000002
19.0,6,232.0,100.0,2634,13.0,71,amc gremlin,USA,0.037965072133637055,amc,Low,3801.8072,3.8018072000000003
16.0,6,225.0,105.0,3439,15.5,71,plymouth satellite custom,USA,0.030532131433556268,plymouth,Mid,3687.0975,3.6870974999999997
17.0,6,250.0,100.0,3329,15.5,71,chevrolet chevelle malibu,USA,0.030039050765995796,chevrolet,Low,4096.775,4.096775
19.0,6,250.0,88.0,3302,15.5,71,ford torino 500,USA,0.026650514839491216,ford,Low,4096.775,4.096775
18.0,6,232.0,100.0,3288,15.5,71,amc matador,USA,0.030413625304136254,amc,Low,3801.8072,3.8018072000000003
14.0,8,350.0,165.0,4209,12.0,71,chevrolet impala,USA,0.039201710620099785,chevrolet,Mid,5735.485,5.735485
14.0,8,400.0,175.0,4464,11.5,71,pontiac catalina brougham,USA,0.03920250896057348,pontiac,High,6554.84,6.55484
14.0,8,351.0,153.0,4154,13.5,71,ford galaxie 500,USA,0.03683196918632643,ford,Mid,5751.8721000000005,5.751872100000001
14.0,8,318.0,150.0,4096,13.0,71,plymouth fury iii,USA,0.03662109375,plymouth,Mid,5211.0978000000005,5.2110978
12.0,8,383.0,180.0,4955,11.5,71,dodge monaco (sw),USA,0.03632694248234107,dodge,High,6276.2593,6.2762592999999995
13.0,8,400.0,170.0,4746,12.0,71,ford country squire (sw),USA,0.03581963758954909,ford,High,6554.84,6.55484
13.0,8,400.0,175.0,5140,12.0,71,pontiac safari (sw),USA,0.03404669260700389,pontiac,High,6554.84,6.55484
18.0,6,258.0,110.0,2962,13.5,71,amc hornet sportabout (sw),USA,0.03713706954760297,amc,Mid,4227.8718,4.2278718
22.0,4,140.0,72.0,2408,19.0,71,chevrolet vega (sw),USA,0.029900332225913623,chevrolet,Low,2294.194,2.294194
19.0,6,250.0,100.0,3282,15.0,71,pontiac firebird,USA,0.030469226081657527,pontiac,Low,4096.775,4.096775
18.0,6,250.0,88.0,3139,14.5,71,ford mustang,USA,0.028034405861739407,ford,Low,4096.775,4.096775
23.0,4,122.0,86.0,2220,14.0,71,mercury capri 2000,USA,0.03873873873873874,mercury,Low,1999.2262,1.9992262
28.0,4,116.0,90.0,2123,14.0,71,opel 1900,Europe,0.04239284032030146,opel,Low,1900.9036,1.9009036000000001
30.0,4,79.0,70.0,2074,19.5,71,peugeot 304,Europe,0.033751205400192864,peugeot,Low,1294.5809,1.2945809
30.0,4,88.0,76.0,2065,14.5,71,fiat 124b,Europe,0.036803874092009685,fiat,Low,1442.0648,1.4420648
31.0,4,71.0,65.0,1773,19.0,71,toyota corolla 1200,Japan,0.03666102650874224,toyota,Low,1163.4841000000001,1.1634841
35.0,4,72.0,69.0,1613,18.0,71,datsun 1200,Japan,0.04277743335399876,datsun,Low,1179.8712,1.1798712
27.0,4,97.0,60.0,1834,19.0,71,volkswagen model 111,Europe,0.03271537622682661,VW,Low,1589.5487,1.5895487000000001
26.0,4,91.0,70.0,1955,20.5,71,plymouth cricket,USA,0.03580562659846547,plymouth,Low,1491.2261,1.4912261
24.0,4,113.0,95.0,2278,15.5,72,toyota corona hardtop,Japan,0.04170324846356453,toyota,Low,1851.7423000000001,1.8517423000000002
25.0,4,97.5,80.0,2126,17.0,72,dodge colt hardtop,USA,0.03762935089369708,dodge,Low,1597.74225,1.59774225
23.0,4,97.0,54.0,2254,23.5,72,volkswagen type 3,Europe,0.023957409050576754,VW,Low,1589.5487,1.5895487000000001
20.0,4,140.0,90.0,2408,19.5,72,chevrolet vega,USA,0.03737541528239203,chevrolet,Low,2294.194,2.294194
21.0,4,122.0,86.0,2226,16.5,72,ford pinto runabout,USA,0.03863432165318958,ford,Low,1999.2262,1.9992262
13.0,8,350.0,165.0,4274,12.0,72,chevrolet impala,USA,0.0386055217594759,chevrolet,Mid,5735.485,5.735485
14.0,8,400.0,175.0,4385,12.0,72,pontiac catalina,USA,0.039908779931584946,pontiac,High,6554.84,6.55484
15.0,8,318.0,150.0,4135,13.5,72,plymouth fury iii,USA,0.036275695284159616,plymouth,Mid,5211.0978000000005,5.2110978
14.0,8,351.0,153.0,4129,13.0,72,ford galaxie 500,USA,0.03705497699200775,ford,Mid,5751.8721000000005,5.751872100000001
17.0,8,304.0,150.0,3672,11.5,72,amc ambassador sst,USA,0.04084967320261438,amc,Mid,4981.6784,4.9816784
11.0,8,429.0,208.0,4633,11.0,72,mercury marquis,USA,0.044895316209799266,mercury,High,7030.0659000000005,7.0300659
13.0,8,350.0,155.0,4502,13.5,72,buick lesabre custom,USA,0.03442914260328743,buick,Mid,5735.485,5.735485
12.0,8,350.0,160.0,4456,13.5,72,oldsmobile delta 88 royale,USA,0.03590664272890485,oldsmobile,Mid,5735.485,5.735485
13.0,8,400.0,190.0,4422,12.5,72,chrysler newport royal,USA,0.04296698326549073,chrysler,High,6554.84,6.55484
19.0,3,70.0,97.0,2330,13.5,72,mazda rx2 coupe,Japan,0.041630901287553645,mazda,Low,1147.097,1.147097
15.0,8,304.0,150.0,3892,12.5,72,amc matador (sw),USA,0.03854059609455293,amc,Mid,4981.6784,4.9816784
13.0,8,307.0,130.0,4098,14.0,72,chevrolet chevelle concours (sw),USA,0.0317227916056613,chevrolet,Mid,5030.8397,5.0308397000000005
13.0,8,302.0,140.0,4294,16.0,72,ford gran torino (sw),USA,0.032603632976245925,ford,Mid,4948.9042,4.9489042
14.0,8,318.0,150.0,4077,14.0,72,plymouth satellite custom (sw),USA,0.03679175864606328,plymouth,Mid,5211.0978000000005,5.2110978
18.0,4,121.0,112.0,2933,14.5,72,volvo 145e (sw),Europe,0.03818615751789976,volvo,Mid,1982.8391,1.9828390999999999
22.0,4,121.0,76.0,2511,18.0,72,volkswagen 411 (sw),Europe,0.030266825965750695,VW,Low,1982.8391,1.9828390999999999
21.0,4,120.0,87.0,2979,19.5,72,peugeot 504 (sw),Europe,0.02920443101711984,peugeot,Low,1966.452,1.966452
26.0,4,96.0,69.0,2189,18.0,72,renault 12 (sw),Europe,0.031521242576518956,renault,Low,1573.1616,1.5731616
22.0,4,122.0,86.0,2395,16.0,72,ford pinto (sw),USA,0.03590814196242171,ford,Low,1999.2262,1.9992262
28.0,4,97.0,92.0,2288,17.0,72,datsun 510 (sw),Japan,0.04020979020979021,datsun,Low,1589.5487,1.5895487000000001
23.0,4,120.0,97.0,2506,14.5,72,toyouta corona mark ii (sw),Japan,0.038707102952913006,toyota,Low,1966.452,1.966452
28.0,4,98.0,80.0,2164,15.0,72,dodge colt (sw),USA,0.036968576709796676,dodge,Low,1605.9358,1.6059358
27.0,4,97.0,88.0,2100,16.5,72,toyota corolla 1600 (sw),Japan,0.0419047619047619,toyota,Low,1589.5487,1.5895487000000001
13.0,8,350.0,175.0,4100,13.0,73,buick century 350,USA,0.042682926829268296,buick,High,5735.485,5.735485
14.0,8,304.0,150.0,3672,11.5,73,amc matador,USA,0.04084967320261438,amc,Mid,4981.6784,4.9816784
13.0,8,350.0,145.0,3988,13.0,73,chevrolet malibu,USA,0.03635907723169508,chevrolet,Mid,5735.485,5.735485
14.0,8,302.0,137.0,4042,14.5,73,ford gran torino,USA,0.0338941118258288,ford,Mid,4948.9042,4.9489042
15.0,8,318.0,150.0,3777,12.5,73,dodge coronet custom,USA,0.03971405877680699,dodge,Mid,5211.0978000000005,5.2110978
12.0,8,429.0,198.0,4952,11.5,73,mercury marquis brougham,USA,0.03998384491114701,mercury,High,7030.0659000000005,7.0300659
13.0,8,400.0,150.0,4464,12.0,73,chevrolet caprice classic,USA,0.033602150537634407,chevrolet,Mid,6554.84,6.55484
13.0,8,351.0,158.0,4363,13.0,73,ford ltd,USA,0.03621361448544579,ford,Mid,5751.8721000000005,5.751872100000001
14.0,8,318.0,150.0,4237,14.5,73,plymouth fury gran sedan,USA,0.03540240736370073,plymouth,Mid,5211.0978000000005,5.2110978
13.0,8,440.0,215.0,4735,11.0,73,chrysler new yorker brougham,USA,0.0454065469904963,chrysler,High,7210.3240000000005,7.210324000000001
12.0,8,455.0,225.0,4951,11.0,73,buick electra 225 custom,USA,0.045445364572813576,buick,High,7456.1305,7.4561305
13.0,8,360.0,175.0,3821,11.0,73,amc ambassador brougham,USA,0.04579952891913112,amc,High,5899.356,5.899356
18.0,6,225.0,105.0,3121,16.5,73,plymouth valiant,USA,0.03364306312079462,plymouth,Mid,3687.0975,3.6870974999999997
16.0,6,250.0,100.0,3278,18.0,73,chevrolet nova custom,USA,0.03050640634533252,chevrolet,Low,4096.775,4.096775
18.0,6,232.0,100.0,2945,16.0,73,amc hornet,USA,0.03395585738539898,amc,Low,3801.8072,3.8018072000000003
18.0,6,250.0,88.0,3021,16.5,73,ford maverick,USA,0.029129427341939754,ford,Low,4096.775,4.096775
23.0,6,198.0,95.0,2904,16.0,73,plymouth duster,USA,0.03271349862258953,plymouth,Low,3244.6458000000002,3.2446458000000002
26.0,4,97.0,46.0,1950,21.0,73,volkswagen super beetle,Europe,0.02358974358974359,VW,Low,1589.5487,1.5895487000000001
11.0,8,400.0,150.0,4997,14.0,73,chevrolet impala,USA,0.03001801080648389,chevrolet,Mid,6554.84,6.55484
12.0,8,400.0,167.0,4906,12.5,73,ford country,USA,0.03403995108030983,ford,High,6554.84,6.55484
13.0,8,360.0,170.0,4654,13.0,73,plymouth custom suburb,USA,0.0365277180919639,plymouth,High,5899.356,5.899356
12.0,8,350.0,180.0,4499,12.5,73,oldsmobile vista cruiser,USA,0.04000889086463658,oldsmobile,High,5735.485,5.735485
18.0,6,232.0,100.0,2789,15.0,73,amc gremlin,USA,0.035855145213338116,amc,Low,3801.8072,3.8018072000000003
20.0,4,97.0,88.0,2279,19.0,73,toyota carina,Japan,0.03861342694164107,toyota,Low,1589.5487,1.5895487000000001
21.0,4,140.0,72.0,2401,19.5,73,chevrolet vega,USA,0.029987505206164097,chevrolet,Low,2294.194,2.294194
22.0,4,108.0,94.0,2379,16.5,73,datsun 610,Japan,0.039512400168137875,datsun,Low,1769.8068,1.7698068
18.0,3,70.0,90.0,2124,13.5,73,maxda rx3,Japan,0.0423728813559322,mazda,Low,1147.097,1.147097
19.0,4,122.0,85.0,2310,18.5,73,ford pinto,USA,0.0367965367965368,ford,Low,1999.2262,1.9992262
21.0,6,155.0,107.0,2472,14.0,73,mercury capri v6,USA,0.043284789644012944,mercury,Mid,2540.0005,2.5400005
26.0,4,98.0,90.0,2265,15.5,73,fiat 124 sport coupe,Europe,0.039735099337748346,fiat,Low,1605.9358,1.6059358
15.0,8,350.0,145.0,4082,13.0,73,chevrolet monte carlo s,USA,0.035521803037726604,chevrolet,Mid,5735.485,5.735485
16.0,8,400.0,230.0,4278,9.5,73,pontiac grand prix,USA,0.053763440860215055,pontiac,High,6554.84,6.55484
29.0,4,68.0,49.0,1867,19.5,73,fiat 128,Europe,0.026245313336904125,fiat,Low,1114.3228,1.1143227999999998
24.0,4,116.0,75.0,2158,15.5,73,opel manta,Europe,0.03475440222428174,opel,Low,1900.9036,1.9009036000000001
20.0,4,114.0,91.0,2582,14.0,73,audi 100ls,Europe,0.03524399690162665,audi,Low,1868.1294,1.8681294
19.0,4,121.0,112.0,2868,15.5,73,volvo 144ea,Europe,0.03905160390516039,volvo,Mid,1982.8391,1.9828390999999999
15.0,8,318.0,150.0,3399,11.0,73,dodge dart custom,USA,0.0441306266548985,dodge,Mid,5211.0978000000005,5.2110978
24.0,4,121.0,110.0,2660,14.0,73,saab 99le,Europe,0.041353383458646614,saab,Mid,1982.8391,1.9828390999999999
20.0,6,156.0,122.0,2807,13.5,73,toyota mark ii,Japan,0.04346277164232276,toyota,Mid,2556.3876,2.5563876
11.0,8,350.0,180.0,3664,11.0,73,oldsmobile omega,USA,0.04912663755458515,oldsmobile,High,5735.485,5.735485
20.0,6,198.0,95.0,3102,16.5,74,plymouth duster,USA,0.030625402965828497,plymouth,Low,3244.6458000000002,3.2446458000000002
19.0,6,232.0,100.0,2901,16.0,74,amc hornet,USA,0.03447087211306446,amc,Low,3801.8072,3.8018072000000003
15.0,6,250.0,100.0,3336,17.0,74,chevrolet nova,USA,0.02997601918465228,chevrolet,Low,4096.775,4.096775
31.0,4,79.0,67.0,1950,19.0,74,datsun b210,Japan,0.03435897435897436,datsun,Low,1294.5809,1.2945809
26.0,4,122.0,80.0,2451,16.5,74,ford pinto,USA,0.032639738882088945,ford,Low,1999.2262,1.9992262
32.0,4,71.0,65.0,1836,21.0,74,toyota corolla 1200,Japan,0.03540305010893246,toyota,Low,1163.4841000000001,1.1634841
25.0,4,140.0,75.0,2542,17.0,74,chevrolet vega,USA,0.029504327301337528,chevrolet,Low,2294.194,2.294194
16.0,6,250.0,100.0,3781,17.0,74,chevrolet chevelle malibu classic,USA,0.026448029621793177,chevrolet,Low,4096.775,4.096775
16.0,6,258.0,110.0,3632,18.0,74,amc matador,USA,0.0302863436123348,amc,Mid,4227.8718,4.2278718
18.0,6,225.0,105.0,3613,16.5,74,plymouth satellite sebring,USA,0.029061721561029614,plymouth,Mid,3687.0975,3.6870974999999997
16.0,8,302.0,140.0,4141,14.0,74,ford gran torino,USA,0.03380825887466796,ford,Mid,4948.9042,4.9489042
13.0,8,350.0,150.0,4699,14.5,74,buick century luxus (sw),USA,0.03192168546499255,buick,Mid,5735.485,5.735485
14.0,8,318.0,150.0,4457,13.5,74,dodge coronet custom (sw),USA,0.03365492483733453,dodge,Mid,5211.0978000000005,5.2110978
14.0,8,302.0,140.0,4638,16.0,74,ford gran torino (sw),USA,0.030185424752048298,ford,Mid,4948.9042,4.9489042
14.0,8,304.0,150.0,4257,15.5,74,amc matador (sw),USA,0.035236081747709654,amc,Mid,4981.6784,4.9816784
29.0,4,98.0,83.0,2219,16.5,74,audi fox,Europe,0.03740423614240649,audi,Low,1605.9358,1.6059358
26.0,4,79.0,67.0,1963,15.5,74,volkswagen dasher,Europe,0.03413143148242486,VW,Low,1294.5809,1.2945809
26.0,4,97.0,78.0,2300,14.5,74,opel manta,Europe,0.03391304347826087,opel,Low,1589.5487,1.5895487000000001
31.0,4,76.0,52.0,1649,16.5,74,toyota corona,Japan,0.031534263189812006,toyota,Low,1245.4196,1.2454196
32.0,4,83.0,61.0,2003,19.0,74,datsun 710,Japan,0.030454318522216674,datsun,Low,1360.1293,1.3601293
28.0,4,90.0,75.0,2125,14.5,74,dodge colt,USA,0.03529411764705882,dodge,Low,1474.839,1.474839
24.0,4,90.0,75.0,2108,15.5,74,fiat 128,Europe,0.03557874762808349,fiat,Low,1474.839,1.474839
26.0,4,116.0,75.0,2246,14.0,74,fiat 124 tc,Europe,0.033392698130008905,fiat,Low,1900.9036,1.9009036000000001
24.0,4,120.0,97.0,2489,15.0,74,honda civic,Japan,0.038971474487746086,honda,Low,1966.452,1.966452
26.0,4,108.0,93.0,2391,15.5,74,subaru,Japan,0.03889585947302384,subaru,Low,1769.8068,1.7698068
31.0,4,79.0,67.0,2000,16.0,74,fiat x1.9,Europe,0.0335,fiat,Low,1294.5809,1.2945809
19.0,6,225.0,95.0,3264,16.0,75,plymouth valiant custom,USA,0.029105392156862746,plymouth,Low,3687.0975,3.6870974999999997
18.0,6,250.0,105.0,3459,16.0,75,chevrolet nova,USA,0.030355594102341718,chevrolet,Mid,4096.775,4.096775
15.0,6,250.0,72.0,3432,21.0,75,mercury monarch,USA,0.02097902097902098,mercury,Low,4096.775,4.096775
15.0,6,250.0,72.0,3158,19.5,75,ford maverick,USA,0.022799240025332488,ford,Low,4096.775,4.096775
16.0,8,400.0,170.0,4668,11.5,75,pontiac catalina,USA,0.03641816623821765,pontiac,High,6554.84,6.55484
15.0,8,350.0,145.0,4440,14.0,75,chevrolet bel air,USA,0.03265765765765766,chevrolet,Mid,5735.485,5.735485
16.0,8,318.0,150.0,4498,14.5,75,plymouth grand fury,USA,0.03334815473543797,plymouth,Mid,5211.0978000000005,5.2110978
14.0,8,351.0,148.0,4657,13.5,75,ford ltd,USA,0.031780115954477134,ford,Mid,5751.8721000000005,5.751872100000001
17.0,6,231.0,110.0,3907,21.0,75,buick century,USA,0.028154594317890965,buick,Mid,3785.4201000000003,3.7854201
16.0,6,250.0,105.0,3897,18.5,75,chevroelt chevelle malibu,USA,0.026943802925327175,chevrolet,Mid,4096.775,4.096775
15.0,6,258.0,110.0,3730,19.0,75,amc matador,USA,0.029490616621983913,amc,Mid,4227.8718,4.2278718
18.0,6,225.0,95.0,3785,19.0,75,plymouth fury,USA,0.02509907529722589,plymouth,Low,3687.0975,3.6870974999999997
21.0,6,231.0,110.0,3039,15.0,75,buick skyhawk,USA,0.0361961171437973,buick,Mid,3785.4201000000003,3.7854201
20.0,8,262.0,110.0,3221,13.5,75,chevrolet monza 2+2,USA,0.034150884818379384,chevrolet,Mid,4293.4202000000005,4.293420200000001
13.0,8,302.0,129.0,3169,12.0,75,ford mustang ii,USA,0.04070684758598927,ford,Mid,4948.9042,4.9489042
29.0,4,97.0,75.0,2171,16.0,75,toyota corolla,Japan,0.03454629203132197,toyota,Low,1589.5487,1.5895487000000001
23.0,4,140.0,83.0,2639,17.0,75,ford pinto,USA,0.03145130731337628,ford,Low,2294.194,2.294194
20.0,6,232.0,100.0,2914,16.0,75,amc gremlin,USA,0.03431708991077557,amc,Low,3801.8072,3.8018072000000003
23.0,4,140.0,78.0,2592,18.5,75,pontiac astro,USA,0.03009259259259259,pontiac,Low,2294.194,2.294194
24.0,4,134.0,96.0,2702,13.5,75,toyota corona,Japan,0.03552923760177646,toyota,Low,2195.8714,2.1958714
25.0,4,90.0,71.0,2223,16.5,75,volkswagen dasher,Europe,0.031938821412505626,VW,Low,1474.839,1.474839
24.0,4,119.0,97.0,2545,17.0,75,datsun 710,Japan,0.0381139489194499,datsun,Low,1950.0649,1.9500649
18.0,6,171.0,97.0,2984,14.5,75,ford pinto,USA,0.032506702412868634,ford,Low,2802.1941,2.8021941000000004
29.0,4,90.0,70.0,1937,14.0,75,volkswagen rabbit,Europe,0.036138358286009295,VW,Low,1474.839,1.474839
19.0,6,232.0,90.0,3211,17.0,75,amc pacer,USA,0.02802865151043289,amc,Low,3801.8072,3.8018072000000003
23.0,4,115.0,95.0,2694,15.0,75,audi 100ls,Europe,0.03526354862657758,audi,Low,1884.5165,1.8845165
23.0,4,120.0,88.0,2957,17.0,75,peugeot 504,Europe,0.029759891782211702,peugeot,Low,1966.452,1.966452
22.0,4,121.0,98.0,2945,14.5,75,volvo 244dl,Europe,0.033276740237691005,volvo,Low,1982.8391,1.9828390999999999
25.0,4,121.0,115.0,2671,13.5,75,saab 99le,Europe,0.0430550355672033,saab,Mid,1982.8391,1.9828390999999999
33.0,4,91.0,53.0,1795,17.5,75,honda civic cvcc,Japan,0.029526462395543174,honda,Low,1491.2261,1.4912261
28.0,4,107.0,86.0,2464,15.5,76,fiat 131,Europe,0.0349025974025974,fiat,Low,1753.4197,1.7534197
25.0,4,116.0,81.0,2220,16.9,76,opel 1900,Europe,0.03648648648648649,opel,Low,1900.9036,1.9009036000000001
25.0,4,140.0,92.0,2572,14.9,76,capri ii,USA,0.03576982892690513,ford,Low,2294.194,2.294194
26.0,4,98.0,79.0,2255,17.7,76,dodge colt,USA,0.03503325942350333,dodge,Low,1605.9358,1.6059358
27.0,4,101.0,83.0,2202,15.3,76,renault 12tl,Europe,0.037693006357856496,renault,Low,1655.0971,1.6550970999999999
17.5,8,305.0,140.0,4215,13.0,76,chevrolet chevelle malibu classic,USA,0.033214709371293,chevrolet,Mid,4998.0655,4.9980655
16.0,8,318.0,150.0,4190,13.0,76,dodge coronet brougham,USA,0.03579952267303103,dodge,Mid,5211.0978000000005,5.2110978
15.5,8,304.0,120.0,3962,13.9,76,amc matador,USA,0.03028773346794548,amc,Mid,4981.6784,4.9816784
14.5,8,351.0,152.0,4215,12.8,76,ford gran torino,USA,0.03606168446026097,ford,Mid,5751.8721000000005,5.751872100000001
22.0,6,225.0,100.0,3233,15.4,76,plymouth valiant,USA,0.03093102381688834,plymouth,Low,3687.0975,3.6870974999999997
22.0,6,250.0,105.0,3353,14.5,76,chevrolet nova,USA,0.031315240083507306,chevrolet,Mid,4096.775,4.096775
24.0,6,200.0,81.0,3012,17.6,76,ford maverick,USA,0.026892430278884463,ford,Low,3277.42,3.27742
22.5,6,232.0,90.0,3085,17.6,76,amc hornet,USA,0.029173419773095625,amc,Low,3801.8072,3.8018072000000003
29.0,4,85.0,52.0,2035,22.2,76,chevrolet chevette,USA,0.025552825552825554,chevrolet,Low,1392.9035000000001,1.3929035
